Randomizer Version: 4.6.1
Random Seed: 218158380368997
Settings String: 322AAgEAgSDAYYBiQEEAAEeRAABFAAAFABABAABAAAAAAAAAAAAMgQyAQAICTIGBQAyAAIAFFBva2Vtb24gUGxhdGludW0gKFMp3lSAj+PDOIo=

--Pokemon Base Stats & Types--
NUM|NAME      |TYPE             |  HP| ATK| DEF|SATK|SDEF| SPD|ABILITY1    |ABILITY2    |ITEM
  1|BULBASAUR    |GRASS/POISON     |  45|  49|  49|  65|  65|  45|Fuga        |Ignífugo    |
  2|IVYSAUR      |GRASS/POISON     |  60|  62|  63|  80|  80|  60|Absor. Elec.| -          |
  3|VENUSAUR     |GRASS/POISON     |  80|  82|  83| 100| 100|  80|Piel Tosca  | -          |
  4|CHARMANDER   |FIRE             |  39|  52|  43|  60|  50|  65|Absor. Elec.|Irascible   |
  5|CHARMELEON   |FIRE             |  58|  64|  58|  80|  65|  80|Piel Seca   | -          |
  6|CHARIZARD    |FIRE/FLYING      |  78|  84|  78| 109|  85| 100|Dicha       |Energía Pura|
  7|SQUIRTLE     |WATER            |  44|  48|  65|  50|  64|  43|Enjambre    |Más         |
  8|WARTORTLE    |WATER            |  59|  63|  80|  65|  80|  58|Absor. Fuego| -          |
  9|BLASTOISE    |WATER            |  79|  83| 100|  85| 105|  78|Absor. Agua |Viscosidad  |
 10|CATERPIE     |BUG              |  45|  30|  35|  20|  20|  45|Más         |Ignorante   |
 11|METAPOD      |BUG              |  50|  20|  55|  25|  25|  30|Gran Encanto| -          |
 12|BUTTERFREE   |BUG/FLYING       |  60|  45|  50|  80|  80|  70|Muro Mágico | -          |Polvo Plata (rare)
 13|WEEDLE       |BUG/POISON       |  40|  35|  30|  20|  20|  50|Punto Tóxico|Escama Esp. |
 14|KAKUNA       |BUG/POISON       |  45|  25|  50|  25|  25|  35|Mudar       |Cacheo      |
 15|BEEDRILL     |BUG/POISON       |  65|  80|  40|  45|  80|  75|Rivalidad   | -          |Flecha Ven. (rare)
 16|PIDGEY       |NORMAL/FLYING    |  40|  45|  40|  35|  35|  56|Nevada      | -          |
 17|PIDGEOTTO    |NORMAL/FLYING    |  63|  60|  55|  50|  50|  71|Sincronía   |Recogida    |
 18|PIDGEOT      |NORMAL/FLYING    |  83|  80|  75|  70|  70|  91|Imán        | -          |
 19|RATTATA      |NORMAL           |  30|  56|  35|  25|  35|  72|Absor. Elec.| -          |Baya Chilan (rare)
 20|RATICATE     |NORMAL           |  55|  81|  60|  50|  70|  97|Encadenado  |Absor. Agua |Baya Chilan (rare)
